============================================================
  PC-S³ 3-Seed Statistical Validation
  Modes: ['vanilla', 'concat', 'concat_shuffled']
  Seeds: [42, 123, 777]
  Epochs: 300 | Output: results/stats3seed/
  Total runs: 9
============================================================


############################################################
# [1/9] vanilla  seed=42
############################################################
/home/lab/miniconda3/lib/python3.13/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Device: cuda (NVIDIA RTX PRO 6000 Blackwell Workstation Edition)

============================================================
  PC-S³ Step 2 + Aug: VANILLA
  Params: 6,549,572  |  d=160  L=8  patch=4
  epochs=300  batch=128  wd=0.05
  Aug: RandAugment(N=2,M=9) + RandomErasing(0.25)
============================================================
  Ep 109 | lr 2.2e-04 | train 0.5106 acc 0.852 | test 1.5199 acc 0.6405
  Ep 110 | lr 2.2e-04 | train 0.5076 acc 0.854 | test 1.4776 acc 0.6495
  Ep 111 | lr 2.2e-04 | train 0.5097 acc 0.851 | test 1.5159 acc 0.6434
  Ep 112 | lr 2.2e-04 | train 0.5012 acc 0.856 | test 1.4979 acc 0.6409
  Ep 113 | lr 2.2e-04 | train 0.4972 acc 0.856 | test 1.5006 acc 0.6435
  Ep 114 | lr 2.1e-04 | train 0.4916 acc 0.859 | test 1.5622 acc 0.6393
  Ep 115 | lr 2.1e-04 | train 0.4848 acc 0.858 | test 1.5033 acc 0.6499
  Ep 116 | lr 2.1e-04 | train 0.4745 acc 0.863 | test 1.4905 acc 0.6521 ★
  Ep 117 | lr 2.1e-04 | train 0.4756 acc 0.861 | test 1.5157 acc 0.6496
  Ep 118 | lr 2.1e-04 | train 0.4711 acc 0.864 | test 1.5305 acc 0.6446
  Ep 119 | lr 2.1e-04 | train 0.4561 acc 0.867 | test 1.5484 acc 0.6415
  Ep 120 | lr 2.1e-04 | train 0.4628 acc 0.868 | test 1.5282 acc 0.6453
  Ep 121 | lr 2.0e-04 | train 0.4625 acc 0.866 | test 1.5216 acc 0.6455
  Ep 122 | lr 2.0e-04 | train 0.4577 acc 0.868 | test 1.5104 acc 0.6485
  Ep 123 | lr 2.0e-04 | train 0.4561 acc 0.867 | test 1.5090 acc 0.6440
  Ep 124 | lr 2.0e-04 | train 0.4519 acc 0.868 | test 1.5191 acc 0.6474
  Ep 125 | lr 2.0e-04 | train 0.4380 acc 0.874 | test 1.5448 acc 0.6407
  Ep 126 | lr 2.0e-04 | train 0.4474 acc 0.872 | test 1.5360 acc 0.6434
  Ep 127 | lr 1.9e-04 | train 0.4386 acc 0.873 | test 1.5150 acc 0.6486
  Ep 128 | lr 1.9e-04 | train 0.4255 acc 0.877 | test 1.5371 acc 0.6442
  Ep 129 | lr 1.9e-04 | train 0.4288 acc 0.875 | test 1.5479 acc 0.6418
  Ep 130 | lr 1.9e-04 | train 0.4249 acc 0.877 | test 1.5324 acc 0.6464
  Ep 131 | lr 1.9e-04 | train 0.4150 acc 0.880 | test 1.5375 acc 0.6454
  Ep 132 | lr 1.9e-04 | train 0.4128 acc 0.880 | test 1.5684 acc 0.6372
  Ep 133 | lr 1.9e-04 | train 0.4105 acc 0.881 | test 1.5371 acc 0.6453
  Ep 134 | lr 1.8e-04 | train 0.4065 acc 0.881 | test 1.5331 acc 0.6496
  Ep 135 | lr 1.8e-04 | train 0.3999 acc 0.884 | test 1.5564 acc 0.6443
  Ep 136 | lr 1.8e-04 | train 0.3976 acc 0.887 | test 1.5389 acc 0.6451
  Ep 137 | lr 1.8e-04 | train 0.3963 acc 0.886 | test 1.5401 acc 0.6486
  Ep 138 | lr 1.8e-04 | train 0.3994 acc 0.884 | test 1.5363 acc 0.6528 ★
  Ep 139 | lr 1.8e-04 | train 0.3973 acc 0.885 | test 1.5482 acc 0.6483
  Ep 140 | lr 1.7e-04 | train 0.3938 acc 0.887 | test 1.5239 acc 0.6500
  Ep 141 | lr 1.7e-04 | train 0.3774 acc 0.893 | test 1.5499 acc 0.6491
  Ep 142 | lr 1.7e-04 | train 0.3871 acc 0.888 | test 1.5425 acc 0.6490
  Ep 143 | lr 1.7e-04 | train 0.3726 acc 0.893 | test 1.5518 acc 0.6498
  Ep 144 | lr 1.7e-04 | train 0.3696 acc 0.893 | test 1.5570 acc 0.6474
  Ep 145 | lr 1.7e-04 | train 0.3709 acc 0.893 | test 1.5594 acc 0.6508
  Ep 146 | lr 1.6e-04 | train 0.3626 acc 0.895 | test 1.5343 acc 0.6542 ★
