Device: cuda (NVIDIA RTX PRO 6000 Blackwell Workstation Edition)

============================================================
  PC-S³ Step 2 + Aug: VANILLA
  Params: 6,549,572  |  d=160  L=8  patch=4
  epochs=300  batch=128  wd=0.05
  Aug: RandAugment(N=2,M=9) + RandomErasing(0.25)
============================================================

  ╔════════════════════════════════════════════════════════╗
  ║  OVERFIT CHECK — single batch, 50 steps                    ║
  ╚════════════════════════════════════════════════════════╝
  step   1/50 [                    ] loss=4.6883  acc=0.023
  step  10/50 [▓▓▓▓                ] loss=2.2377  acc=0.633
  step  20/50 [▓▓▓▓▓▓▓▓            ] loss=0.3020  acc=1.000
  step  30/50 [▓▓▓▓▓▓▓▓▓▓▓▓        ] loss=0.0421  acc=1.000
  step  40/50 [▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓    ] loss=0.0167  acc=1.000
  step  50/50 [▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓] loss=0.0103  acc=1.000
  ✅ PASS — loss 0.0100 < 0.05, acc 1.000 > 0.90
  Ep  66 | lr 2.7e-04 | train 0.8849 acc 0.744 | test 1.4068 acc 0.6359
  Ep  67 | lr 2.7e-04 | train 0.8793 acc 0.745 | test 1.4313 acc 0.6312
  Ep  68 | lr 2.7e-04 | train 0.8726 acc 0.745 | test 1.3959 acc 0.6377
  Ep  69 | lr 2.7e-04 | train 0.8624 acc 0.751 | test 1.4053 acc 0.6368
  Ep  70 | lr 2.7e-04 | train 0.8505 acc 0.752 | test 1.4130 acc 0.6364
  Ep  71 | lr 2.7e-04 | train 0.8300 acc 0.760 | test 1.3939 acc 0.6385 ★
  Ep  72 | lr 2.7e-04 | train 0.8325 acc 0.758 | test 1.4090 acc 0.6359
  Ep  73 | lr 2.7e-04 | train 0.8185 acc 0.763 | test 1.4107 acc 0.6374
  Ep  74 | lr 2.7e-04 | train 0.8084 acc 0.766 | test 1.3975 acc 0.6414 ★
  Ep  75 | lr 2.6e-04 | train 0.7895 acc 0.770 | test 1.4303 acc 0.6349
  Ep  76 | lr 2.6e-04 | train 0.7889 acc 0.771 | test 1.4120 acc 0.6405
  Ep  77 | lr 2.6e-04 | train 0.7716 acc 0.775 | test 1.4117 acc 0.6393
  Ep  78 | lr 2.6e-04 | train 0.7638 acc 0.777 | test 1.4217 acc 0.6414 ★
  Ep  79 | lr 2.6e-04 | train 0.7553 acc 0.782 | test 1.4448 acc 0.6343
  Ep  80 | lr 2.6e-04 | train 0.7450 acc 0.783 | test 1.4065 acc 0.6467 ★
  Ep  81 | lr 2.6e-04 | train 0.7469 acc 0.782 | test 1.4093 acc 0.6439
  Ep  82 | lr 2.6e-04 | train 0.7298 acc 0.786 | test 1.4395 acc 0.6371
  Ep  83 | lr 2.6e-04 | train 0.7337 acc 0.786 | test 1.3835 acc 0.6515 ★
  Ep  84 | lr 2.5e-04 | train 0.7084 acc 0.793 | test 1.4248 acc 0.6447
  Ep  85 | lr 2.5e-04 | train 0.7019 acc 0.792 | test 1.4146 acc 0.6419
  Ep  86 | lr 2.5e-04 | train 0.6956 acc 0.794 | test 1.4295 acc 0.6449
  Ep  87 | lr 2.5e-04 | train 0.6975 acc 0.798 | test 1.4641 acc 0.6365
  Ep  88 | lr 2.5e-04 | train 0.6789 acc 0.801 | test 1.4385 acc 0.6390
  Ep  89 | lr 2.5e-04 | train 0.6690 acc 0.804 | test 1.4028 acc 0.6471
  Ep  90 | lr 2.5e-04 | train 0.6677 acc 0.805 | test 1.4296 acc 0.6424
  Ep  91 | lr 2.5e-04 | train 0.6565 acc 0.807 | test 1.4893 acc 0.6366
  Ep  92 | lr 2.4e-04 | train 0.6558 acc 0.808 | test 1.4503 acc 0.6427
  Ep  93 | lr 2.4e-04 | train 0.6445 acc 0.812 | test 1.4511 acc 0.6434
  Ep  94 | lr 2.4e-04 | train 0.6404 acc 0.812 | test 1.5012 acc 0.6356
  Ep  95 | lr 2.4e-04 | train 0.6393 acc 0.812 | test 1.4409 acc 0.6433
  Ep  96 | lr 2.4e-04 | train 0.6216 acc 0.818 | test 1.4587 acc 0.6506
  Ep  97 | lr 2.4e-04 | train 0.6147 acc 0.821 | test 1.4600 acc 0.6433
  Ep  98 | lr 2.4e-04 | train 0.6210 acc 0.820 | test 1.4553 acc 0.6461
  Ep  99 | lr 2.4e-04 | train 0.6085 acc 0.822 | test 1.4469 acc 0.6482
  Ep 100 | lr 2.3e-04 | train 0.6012 acc 0.824 | test 1.4775 acc 0.6413
  Ep 101 | lr 2.3e-04 | train 0.5950 acc 0.827 | test 1.4926 acc 0.6418
